Order Number,Receipt Time HH,Day,Product,Category Name,Group,SubCategory,Is_Local,Category
307811,9,Thursday,CAPPUCCINO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
307800,9,Thursday,CAPPUCCINO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
351998,9,Friday,CAPPUCCINO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
194015,9,Monday,NUTELLA STRAWBERRIES,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
194015,9,Monday,BENEDICT SALMON,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285997,9,Wednesday,BRKF BOILED HARD,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285975,9,Wednesday,RASPBERRY-SMOOTH,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285995,9,Wednesday,ESPRESSO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
285994,9,Wednesday,BRKF OMELETTE LOUZA GRUYERE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285994,9,Wednesday,NUTELLA,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285960,9,Wednesday,NUTELLA BANANA,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285989,9,Wednesday,NUTELLA STRAWBERRIES,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285974,9,Wednesday,BRKF OMELETTE LOUZA GRUYERE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285974,9,Wednesday,BRKF OMELETTE LOUZA GRUYERE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285974,9,Wednesday,LATTE,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
285969,9,Wednesday,BENEDICT,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285975,9,Wednesday,RASPBERRY-SMOOTH,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285987,9,Wednesday,BRKF BOILED MEDIUM,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285987,9,Wednesday,SCRABBLED,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
307800,9,Thursday,ESPRESSO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
322396,9,Sunday,WATERMELON JUICE,Food,19F - BREAKFAST,Breakfast,No,Juices & Soft Drinks
322398,9,Sunday,AMERICANO,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
322398,9,Sunday,BRKF OMELETTE LOUZA GRUYERE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
322422,9,Sunday,AMERICANO,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
322388,9,Sunday,WATERMELON JUICE,Food,19F - BREAKFAST,Breakfast,No,Juices & Soft Drinks
322388,9,Sunday,MUESLI,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
341530,9,Monday,NUTELLA BANANA,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
350287,9,Tuesday,BRKF OMELETTE YOUR OWN,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
362486,9,Monday,BRKF OVEN BAKED PORK SAUSAGE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
370081,9,Sunday,NUTELLA STRAWBERRIES,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
370076,9,Sunday,BRKF OVEN BAKED TOMATO,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
370076,9,Sunday,BRKF OVEN BAKED PORK SAUSAGE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
185006,9,Thursday,LATTE,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
185035,9,Thursday,BRKF FRIED OVER EASY,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
185033,9,Thursday,BRKF FRIED SUNNY SIDE UP,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
223009,9,Friday,NUTELLA BANANA,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
222998,9,Friday,CREPE PLAIN,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
223037,9,Friday,BRKF OMELETTE LOUZA GRUYERE,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
222998,9,Friday,ALMOND-BOOST,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285963,9,Wednesday,LATTE,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
285958,9,Wednesday,BRKF OMELETTE SALMON HERBS,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285981,9,Wednesday,NUTELLA STRAWBERRIES,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285972,9,Wednesday,BRKF FRIED OVER EASY,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285965,9,Wednesday,BRKF BOILED MEDIUM,Food,19F - BREAKFAST,Breakfast,No,Breakfast & Brunch
285982,9,Wednesday,ESPRESSO,Food,19F - BREAKFAST,Breakfast,No,Coffee & Milkshakes
